"ensembl_gene_id"	"name_1006"
"1"	"ENSG00000176840"	""
"2"	"ENSG00000198972"	"extracellular space"
"3"	"ENSG00000198972"	"negative regulation of DNA-binding transcription factor activity"
"4"	"ENSG00000198972"	"negative regulation of receptor signaling pathway via STAT"
"5"	"ENSG00000198972"	"negative regulation of tyrosine phosphorylation of STAT protein"
"6"	"ENSG00000198972"	"negative regulation of interleukin-6-mediated signaling pathway"
"7"	"ENSG00000198972"	"negative regulation of leukocyte adhesion to vascular endothelial cell"
"8"	"ENSG00000198972"	"mRNA binding involved in posttranscriptional gene silencing"
"9"	"ENSG00000198972"	"negative regulation of interleukin-6 production"
"10"	"ENSG00000198972"	"gene silencing by miRNA"
"11"	"ENSG00000198972"	"miRNA mediated inhibition of translation"
"12"	"ENSG00000198972"	"negative regulation of signaling receptor activity"
"13"	"ENSG00000198974"	"extracellular space"
"14"	"ENSG00000198974"	"mRNA binding involved in posttranscriptional gene silencing"
"15"	"ENSG00000198974"	"gene silencing by miRNA"
"16"	"ENSG00000198974"	"negative regulation of vascular endothelial cell proliferation"
"17"	"ENSG00000198974"	"negative regulation of sprouting angiogenesis"
"18"	"ENSG00000198974"	"negative regulation of endothelial cell apoptotic process"
"19"	"ENSG00000198974"	"extracellular vesicle"
"20"	"ENSG00000198974"	"negative regulation of cardiac muscle cell apoptotic process"
"21"	"ENSG00000198974"	"negative regulation of cardiac muscle contraction"
"22"	"ENSG00000198974"	"regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process"
"23"	"ENSG00000198987"	"extracellular space"
"24"	"ENSG00000198987"	"mRNA binding involved in posttranscriptional gene silencing"
"25"	"ENSG00000198987"	"gene silencing by miRNA"
"26"	"ENSG00000198987"	"miRNA mediated inhibition of translation"
"27"	"ENSG00000198987"	"negative regulation of vascular endothelial growth factor production"
"28"	"ENSG00000198987"	"mRNA 3'-UTR binding"
"29"	"ENSG00000198987"	"negative regulation of cell migration involved in sprouting angiogenesis"
"30"	"ENSG00000198987"	"negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
"31"	"ENSG00000198987"	"negative regulation of cytokine production involved in inflammatory response"
"32"	"ENSG00000198987"	"extracellular vesicle"
"33"	"ENSG00000198987"	"negative regulation of inflammatory response"
"34"	"ENSG00000198987"	"extracellular exosome"
"35"	"ENSG00000198987"	"RNA polymerase II complex binding"
"36"	"ENSG00000198987"	"negative regulation of cell population proliferation"
"37"	"ENSG00000198987"	"positive regulation of apoptotic process"
"38"	"ENSG00000198987"	"negative regulation of endothelial cell proliferation"
"39"	"ENSG00000198987"	"negative regulation of angiogenesis"
"40"	"ENSG00000198987"	"negative regulation of fibroblast growth factor receptor signaling pathway"
"41"	"ENSG00000198987"	"negative regulation of vascular endothelial growth factor signaling pathway"
"42"	"ENSG00000198987"	"negative regulation of endothelial cell chemotaxis to vascular endothelial growth factor"
"43"	"ENSG00000198987"	"negative regulation of endothelial cell chemotaxis to fibroblast growth factor"
"44"	"ENSG00000198987"	"negative regulation of G1/S transition of mitotic cell cycle"
"45"	"ENSG00000198987"	"negative regulation of I-kappaB kinase/NF-kappaB signaling"
"46"	"ENSG00000198987"	"positive regulation of cardiac muscle cell apoptotic process"
"47"	"ENSG00000198987"	"negative regulation of mesenchymal stem cell proliferation"
"48"	"ENSG00000198987"	"negative regulation of NF-kappaB transcription factor activity"
"49"	"ENSG00000198987"	"negative regulation of mitotic cell cycle"
"50"	"ENSG00000198987"	"positive regulation of connective tissue replacement"
"51"	"ENSG00000198987"	"cellular response to glucose stimulus"
