MIRNA	GENES	REGION	TARGETG_CHR
hsa-miR-122-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-320a	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-196a-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-29b-3p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-130a-3p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-93-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-185-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-454-3p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-23a-3p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-21-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-16-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-17-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-1908	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-374a-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-374b-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-92a-3p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-26a-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-140-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-296-3p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-15a-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-455-5p	RP5-857K21.4	ncRNA_intronic	chr1
hsa-miR-423-5p	HES4	exonic	chr1
hsa-miR-26b-5p	B3GALT6	UTR3	chr1
hsa-miR-320a	ACAP3	exonic,intronic,splicing	chr1
hsa-miR-320a	CPSF3L	UTR3,exonic	chr1
hsa-miR-20a-5p	RP5-890O3.9	ncRNA_exonic	chr1
hsa-miR-26a-5p	AURKAIP1	exonic	chr1
hsa-miR-181a-5p	SSU72	intronic	chr1
hsa-miR-16-5p	SSU72	intronic	chr1
hsa-miR-17-5p	SSU72	intronic	chr1
hsa-miR-194-5p	NADK	intronic	chr1
hsa-miR-27a-3p	NADK	intronic	chr1
hsa-miR-106b-5p	NADK	intronic	chr1
hsa-miR-455-3p	GNB1	UTR3	chr1
hsa-let-7b-5p	GNB1	UTR3	chr1
hsa-miR-19b-3p	GNB1	exonic	chr1
hsa-miR-106a-5p	GNB1	exonic	chr1
hsa-miR-17-5p	GNB1	exonic	chr1
hsa-miR-196a-5p	SKI	UTR3	chr1
hsa-miR-92b-3p	SKI	UTR3	chr1
hsa-miR-484	SKI	UTR3	chr1
hsa-let-7b-5p	SKI	UTR3	chr1
hsa-miR-221-3p	SKI	UTR3	chr1
hsa-miR-92a-3p	SKI	UTR3	chr1
hsa-miR-33a-5p	SKI	UTR3	chr1
hsa-miR-17-5p	PRDM16	intronic	chr1
hsa-miR-20a-5p	PRDM16	intronic	chr1
hsa-miR-21-5p	TPRG1L	UTR3	chr1
hsa-miR-93-5p	TPRG1L	UTR3	chr1
hsa-miR-4286	LRRC47	UTR3,downstream	chr1
hsa-miR-1301-3p	CEP104	UTR5	chr1
hsa-miR-598-3p	C1orf174	UTR3,exonic	chr1
hsa-miR-92a-3p	RPL22	UTR3	chr1
hsa-miR-193b-3p	RPL22	UTR3	chr1
hsa-miR-99b-5p	ICMT	UTR3	chr1
hsa-miR-17-3p	ESPN	UTR3	chr1
hsa-miR-15a-5p	ESPN	UTR3	chr1
hsa-miR-30a-5p	NOL9	UTR3	chr1
hsa-miR-194-5p	KLHL21	UTR3	chr1
hsa-miR-130a-3p	KLHL21	UTR3	chr1
hsa-miR-324-5p	DNAJC11	exonic	chr1
hsa-miR-193b-3p	DNAJC11	exonic	chr1
hsa-miR-27a-3p	CAMTA1	intronic	chr1
hsa-miR-20a-5p	VAMP3	UTR3	chr1
hsa-miR-17-5p	VAMP3	UTR3	chr1
hsa-miR-222-3p	PARK7	exonic	chr1
hsa-miR-92b-3p	PARK7	exonic	chr1
