"ensembl_gene_id"	"name_1006"	"go_id"	"external_gene_name"	"transcript_count"	"chromosome_name"
"1"	"ENSG00000176840"	""	""	"MIR7-3HG"	49	"19"
"2"	"ENSG00000198972"	"extracellular space"	"GO:0005615"	"MIRLET7E"	1	"19"
"3"	"ENSG00000198972"	"negative regulation of DNA-binding transcription factor activity"	"GO:0043433"	"MIRLET7E"	1	"19"
"4"	"ENSG00000198972"	"negative regulation of receptor signaling pathway via STAT"	"GO:1904893"	"MIRLET7E"	1	"19"
"5"	"ENSG00000198972"	"negative regulation of tyrosine phosphorylation of STAT protein"	"GO:0042532"	"MIRLET7E"	1	"19"
"6"	"ENSG00000198972"	"negative regulation of interleukin-6-mediated signaling pathway"	"GO:0070104"	"MIRLET7E"	1	"19"
"7"	"ENSG00000198972"	"negative regulation of leukocyte adhesion to vascular endothelial cell"	"GO:1904995"	"MIRLET7E"	1	"19"
"8"	"ENSG00000198972"	"mRNA binding involved in posttranscriptional gene silencing"	"GO:1903231"	"MIRLET7E"	1	"19"
"9"	"ENSG00000198972"	"negative regulation of interleukin-6 production"	"GO:0032715"	"MIRLET7E"	1	"19"
"10"	"ENSG00000198972"	"gene silencing by miRNA"	"GO:0035195"	"MIRLET7E"	1	"19"
"11"	"ENSG00000198972"	"miRNA mediated inhibition of translation"	"GO:0035278"	"MIRLET7E"	1	"19"
"12"	"ENSG00000198972"	"negative regulation of signaling receptor activity"	"GO:2000272"	"MIRLET7E"	1	"19"
"13"	"ENSG00000198974"	"extracellular space"	"GO:0005615"	"MIR30E"	1	"1"
"14"	"ENSG00000198974"	"mRNA binding involved in posttranscriptional gene silencing"	"GO:1903231"	"MIR30E"	1	"1"
"15"	"ENSG00000198974"	"gene silencing by miRNA"	"GO:0035195"	"MIR30E"	1	"1"
"16"	"ENSG00000198974"	"negative regulation of vascular endothelial cell proliferation"	"GO:1905563"	"MIR30E"	1	"1"
"17"	"ENSG00000198974"	"negative regulation of sprouting angiogenesis"	"GO:1903671"	"MIR30E"	1	"1"
"18"	"ENSG00000198974"	"negative regulation of endothelial cell apoptotic process"	"GO:2000352"	"MIR30E"	1	"1"
"19"	"ENSG00000198974"	"extracellular vesicle"	"GO:1903561"	"MIR30E"	1	"1"
"20"	"ENSG00000198974"	"negative regulation of cardiac muscle cell apoptotic process"	"GO:0010667"	"MIR30E"	1	"1"
"21"	"ENSG00000198974"	"negative regulation of cardiac muscle contraction"	"GO:0055118"	"MIR30E"	1	"1"
